ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
73,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 25 into bowl 22 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 4,Trial 4.xml
74,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 25 into bowl 1 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 5,Trial 5.xml
75,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 6 into bowl 20 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 6,Trial 6.xml
76,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 3 into bowl 5 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 7,Trial 7.xml
77,approach handleft bowl and enclose handleft bowl and approach handright cracker_box and enclose handright cracker_box and approach handright bowl to pour cracker_box 9 into bowl 16 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 8,Trial 8.xml
78,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 15 into bowl 9 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 9,Trial 9.xml
79,approach handright bowl and enclose handright bowl and approach handleft cracker_box and enclose handleft cracker_box and approach handleft bowl to pour cracker_box 6 into bowl 25 \n,BBM01,Expt 1 (Pouring),Bowl and Cracker box,Trial 10,Trial 10.xml
80,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 22 into mug 28 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 1,Trial 1.xml
81,approach handright mug and enclose handright mug and approach handleft pitcher_base and enclose handleft pitcher_base and approach handleft mug to pour pitcher_base 14 into mug 13 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 2,Trial 2.xml
82,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 15 into mug 16 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 3,Trial 3.xml
83,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 16 into mug 10 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 4,Trial 4.xml
84,approach handright pitcher_base and enclose handright pitcher_base and approach handleft mug and enclose handleft mug and approach handright mug to pour pitcher_base 30 into mug 23 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 5,Trial 5.xml
85,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 7 into mug 5 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 6,Trial 6.xml
86,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 14 into mug 25 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 7,Trial 7.xml
87,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 5 into mug 4 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 8,Trial 8.xml
88,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 7 into mug 29 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 9,Trial 9.xml
89,approach handleft pitcher_base and enclose handleft pitcher_base and approach handright mug and enclose handright mug and approach handleft mug to pour pitcher_base 16 into mug 17 \n,BBM02,Expt 1 (Pouring),Mug and Pitcher base,Trial 10,Trial 10.xml
90,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 6 into mug 15 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 1,Trial 1.xml
91,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handright mug to pour sugar_box 16 into mug 1 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 2,Trial 2.xml
92,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 15 into mug 25 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 3,Trial 3.xml
93,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 11 into mug 6 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 4,Trial 4.xml
94,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 11 into mug 12 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 5,Trial 5.xml
95,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 29 into mug 3 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 6,Trial 6.xml
96,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 12 into mug 2 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 7,Trial 7.xml
97,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handleft sugar_box to pour sugar_box 17 into mug 23 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 8,Trial 8.xml
98,approach handright mug and enclose handright mug and approach handleft sugar_box and enclose handleft sugar_box and approach handleft mug to pour sugar_box 21 into mug 17 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 9,Trial 9.xml
99,approach handleft mug and enclose handleft mug and approach handright sugar_box and enclose handright sugar_box and approach handright mug to pour sugar_box 17 into mug 31 \n,BBM02,Expt 1 (Pouring),Mug and Sugar box,Trial 10,Trial 10.xml
100,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 25 into bowl 4 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 1,Trial 1.xml
101,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 21 into bowl 28 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 2,Trial 2.xml
102,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 17 into bowl 32 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 3,Trial 3.xml
103,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 5 into bowl 7 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 4,Trial 4.xml
104,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 13 into bowl 6 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 5,Trial 5.xml
105,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 17 into bowl 22 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 6,Trial 6.xml
106,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 18 into bowl 24 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 7,Trial 7.xml
107,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 7 into bowl 19 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 8,Trial 8.xml
108,approach handright bowl and enclose handright bowl and approach handleft tuna_fish_can and enclose handleft tuna_fish_can and approach handleft bowl to pour tuna_fish_can 31 into bowl 26 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 9,Trial 9.xml
109,approach handleft bowl and enclose handleft bowl and approach handright tuna_fish_can and enclose handright tuna_fish_can and approach handright bowl to pour tuna_fish_can 3 into bowl 4 \n,BBM02,Expt 1 (Pouring),Bowl and Tuna fish can,Trial 10,Trial 10.xml
110,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handleft bowl to pour tomato_soup_can 30 into bowl 3 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 1,Trial 1.xml
111,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handleft bowl to pour tomato_soup_can 10 into bowl 2 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 2,Trial 2.xml
112,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handleft bowl to pour tomato_soup_can 13 into bowl 20 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 3,Trial 3.xml
113,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 3 into bowl 16 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 4,Trial 4.xml
114,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 17 into bowl 14 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 5,Trial 5.xml
115,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 2 into bowl 4 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 6,Trial 6.xml
116,approach handleft bowl and enclose handleft bowl and approach handright tomato_soup_can and enclose handright tomato_soup_can and approach handright bowl to pour tomato_soup_can 14 into bowl 24 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 7,Trial 7.xml
117,approach handright bowl and enclose handright bowl and approach handleft tomato_soup_can and enclose handleft tomato_soup_can and approach handleft bowl to pour tomato_soup_can 5 into bowl 19 \n,BBM02,Expt 1 (Pouring),Bowl and Tomato soup can,Trial 8,Trial 8.xml
