ID,Ours,PDDL
120,to pour pitcher_base 5 into mug 14 \n,(:goal (and (poured pitcher_base 5 mug 14)))) \n
121,to pour pitcher_base 5 into mug 15 \n,(:goal (and (poured pitcher_base 5 mug 15)))) \n
122,to pour pitcher_base 5 into mug 16 \n,(:goal (and (poured pitcher_base 5 mug 16)))) \n
123,to pour pitcher_base 5 into mug 17 \n,(:goal (and (poured pitcher_base 5 mug 17)))) \n
124,to pour pitcher_base 5 into mug 19 \n,(:goal (and (poured pitcher_base 5 mug 19)))) \n
125,to pour pitcher_base 5 into mug 20 \n,(:goal (and (poured pitcher_base 5 mug 20)))) \n
126,to pour pitcher_base 5 into mug 21 \n,(:goal (and (poured pitcher_base 5 mug 21)))) \n
127,to pour pitcher_base 5 into mug 22 \n,(:goal (and (poured pitcher_base 5 mug 22)))) \n
128,to pour pitcher_base 5 into mug 23 \n,(:goal (and (poured pitcher_base 5 mug 23)))) \n
129,to pour pitcher_base 5 into mug 24 \n,(:goal (and (poured pitcher_base 5 mug 24)))) \n
130,to pour pitcher_base 5 into mug 25 \n,(:goal (and (poured pitcher_base 5 mug 25)))) \n
131,to pour pitcher_base 5 into mug 26 \n,(:goal (and (poured pitcher_base 5 mug 26)))) \n
132,to pour pitcher_base 5 into mug 27 \n,(:goal (and (poured pitcher_base 5 mug 27)))) \n
133,to pour pitcher_base 5 into mug 28 \n,(:goal (and (poured pitcher_base 5 mug 28)))) \n
134,to pour pitcher_base 5 into mug 29 \n,(:goal (and (poured pitcher_base 5 mug 29)))) \n
135,to pour pitcher_base 5 into mug 30 \n,(:goal (and (poured pitcher_base 5 mug 30)))) \n
136,to pour pitcher_base 5 into mug 31 \n,(:goal (and (poured pitcher_base 5 mug 31)))) \n
137,to pour pitcher_base 5 into mug 32 \n,(:goal (and (poured pitcher_base 5 mug 32)))) \n
138,to pour pitcher_base 6 into mug 1 \n,(:goal (and (poured pitcher_base 6 mug 1)))) \n
139,to pour pitcher_base 6 into mug 2 \n,(:goal (and (poured pitcher_base 6 mug 2)))) \n
140,to pour pitcher_base 6 into mug 3 \n,(:goal (and (poured pitcher_base 6 mug 3)))) \n
141,to pour pitcher_base 6 into mug 4 \n,(:goal (and (poured pitcher_base 6 mug 4)))) \n
142,to pour pitcher_base 6 into mug 5 \n,(:goal (and (poured pitcher_base 6 mug 5)))) \n
143,to pour pitcher_base 6 into mug 7 \n,(:goal (and (poured pitcher_base 6 mug 7)))) \n
144,to pour pitcher_base 6 into mug 8 \n,(:goal (and (poured pitcher_base 6 mug 8)))) \n
145,to pour pitcher_base 6 into mug 9 \n,(:goal (and (poured pitcher_base 6 mug 9)))) \n
146,to pour pitcher_base 6 into mug 10 \n,(:goal (and (poured pitcher_base 6 mug 10)))) \n
147,to pour pitcher_base 6 into mug 11 \n,(:goal (and (poured pitcher_base 6 mug 11)))) \n
148,to pour pitcher_base 6 into mug 12 \n,(:goal (and (poured pitcher_base 6 mug 12)))) \n
149,to pour pitcher_base 6 into mug 14 \n,(:goal (and (poured pitcher_base 6 mug 14)))) \n
150,to pour pitcher_base 6 into mug 15 \n,(:goal (and (poured pitcher_base 6 mug 15)))) \n
151,to pour pitcher_base 6 into mug 16 \n,(:goal (and (poured pitcher_base 6 mug 16)))) \n
152,to pour pitcher_base 6 into mug 17 \n,(:goal (and (poured pitcher_base 6 mug 17)))) \n
153,to pour pitcher_base 6 into mug 18 \n,(:goal (and (poured pitcher_base 6 mug 18)))) \n
154,to pour pitcher_base 6 into mug 19 \n,(:goal (and (poured pitcher_base 6 mug 19)))) \n
155,to pour pitcher_base 6 into mug 20 \n,(:goal (and (poured pitcher_base 6 mug 20)))) \n
156,to pour pitcher_base 6 into mug 21 \n,(:goal (and (poured pitcher_base 6 mug 21)))) \n
157,to pour pitcher_base 6 into mug 22 \n,(:goal (and (poured pitcher_base 6 mug 22)))) \n
158,to pour pitcher_base 6 into mug 23 \n,(:goal (and (poured pitcher_base 6 mug 23)))) \n
159,to pour pitcher_base 6 into mug 24 \n,(:goal (and (poured pitcher_base 6 mug 24)))) \n
160,to pour pitcher_base 6 into mug 25 \n,(:goal (and (poured pitcher_base 6 mug 25)))) \n
161,to pour pitcher_base 6 into mug 26 \n,(:goal (and (poured pitcher_base 6 mug 26)))) \n
162,to pour pitcher_base 6 into mug 27 \n,(:goal (and (poured pitcher_base 6 mug 27)))) \n
163,to pour pitcher_base 6 into mug 29 \n,(:goal (and (poured pitcher_base 6 mug 29)))) \n
164,to pour pitcher_base 6 into mug 30 \n,(:goal (and (poured pitcher_base 6 mug 30)))) \n
165,to pour pitcher_base 6 into mug 31 \n,(:goal (and (poured pitcher_base 6 mug 31)))) \n
166,to pour pitcher_base 6 into mug 32 \n,(:goal (and (poured pitcher_base 6 mug 32)))) \n
167,to pour pitcher_base 7 into mug 1 \n,(:goal (and (poured pitcher_base 7 mug 1)))) \n
168,to pour pitcher_base 7 into mug 2 \n,(:goal (and (poured pitcher_base 7 mug 2)))) \n
169,to pour pitcher_base 7 into mug 3 \n,(:goal (and (poured pitcher_base 7 mug 3)))) \n
170,to pour pitcher_base 7 into mug 4 \n,(:goal (and (poured pitcher_base 7 mug 4)))) \n
171,to pour pitcher_base 7 into mug 6 \n,(:goal (and (poured pitcher_base 7 mug 6)))) \n
172,to pour pitcher_base 7 into mug 8 \n,(:goal (and (poured pitcher_base 7 mug 8)))) \n
173,to pour pitcher_base 7 into mug 9 \n,(:goal (and (poured pitcher_base 7 mug 9)))) \n
174,to pour pitcher_base 7 into mug 11 \n,(:goal (and (poured pitcher_base 7 mug 11)))) \n
175,to pour pitcher_base 7 into mug 13 \n,(:goal (and (poured pitcher_base 7 mug 13)))) \n
176,to pour pitcher_base 7 into mug 15 \n,(:goal (and (poured pitcher_base 7 mug 15)))) \n
177,to pour pitcher_base 7 into mug 17 \n,(:goal (and (poured pitcher_base 7 mug 17)))) \n
178,to pour pitcher_base 7 into mug 18 \n,(:goal (and (poured pitcher_base 7 mug 18)))) \n
179,to pour pitcher_base 7 into mug 19 \n,(:goal (and (poured pitcher_base 7 mug 19)))) \n
180,to pour pitcher_base 7 into mug 20 \n,(:goal (and (poured pitcher_base 7 mug 20)))) \n
181,to pour pitcher_base 7 into mug 21 \n,(:goal (and (poured pitcher_base 7 mug 21)))) \n
182,to pour pitcher_base 7 into mug 22 \n,(:goal (and (poured pitcher_base 7 mug 22)))) \n
183,to pour pitcher_base 7 into mug 23 \n,(:goal (and (poured pitcher_base 7 mug 23)))) \n
184,to pour pitcher_base 7 into mug 24 \n,(:goal (and (poured pitcher_base 7 mug 24)))) \n
185,to pour pitcher_base 7 into mug 26 \n,(:goal (and (poured pitcher_base 7 mug 26)))) \n
186,to pour pitcher_base 7 into mug 27 \n,(:goal (and (poured pitcher_base 7 mug 27)))) \n
187,to pour pitcher_base 7 into mug 28 \n,(:goal (and (poured pitcher_base 7 mug 28)))) \n
188,to pour pitcher_base 7 into mug 31 \n,(:goal (and (poured pitcher_base 7 mug 31)))) \n
189,to pour pitcher_base 7 into mug 32 \n,(:goal (and (poured pitcher_base 7 mug 32)))) \n
190,to pour pitcher_base 8 into mug 2 \n,(:goal (and (poured pitcher_base 8 mug 2)))) \n
191,to pour pitcher_base 8 into mug 3 \n,(:goal (and (poured pitcher_base 8 mug 3)))) \n
192,to pour pitcher_base 8 into mug 5 \n,(:goal (and (poured pitcher_base 8 mug 5)))) \n
193,to pour pitcher_base 8 into mug 6 \n,(:goal (and (poured pitcher_base 8 mug 6)))) \n
194,to pour pitcher_base 8 into mug 7 \n,(:goal (and (poured pitcher_base 8 mug 7)))) \n
195,to pour pitcher_base 8 into mug 9 \n,(:goal (and (poured pitcher_base 8 mug 9)))) \n
196,to pour pitcher_base 8 into mug 10 \n,(:goal (and (poured pitcher_base 8 mug 10)))) \n
197,to pour pitcher_base 8 into mug 11 \n,(:goal (and (poured pitcher_base 8 mug 11)))) \n
198,to pour pitcher_base 8 into mug 12 \n,(:goal (and (poured pitcher_base 8 mug 12)))) \n
199,to pour pitcher_base 8 into mug 13 \n,(:goal (and (poured pitcher_base 8 mug 13)))) \n
200,to pour pitcher_base 8 into mug 14 \n,(:goal (and (poured pitcher_base 8 mug 14)))) \n
201,to pour pitcher_base 8 into mug 15 \n,(:goal (and (poured pitcher_base 8 mug 15)))) \n
202,to pour pitcher_base 8 into mug 16 \n,(:goal (and (poured pitcher_base 8 mug 16)))) \n
203,to pour pitcher_base 8 into mug 17 \n,(:goal (and (poured pitcher_base 8 mug 17)))) \n
204,to pour pitcher_base 8 into mug 18 \n,(:goal (and (poured pitcher_base 8 mug 18)))) \n
205,to pour pitcher_base 8 into mug 19 \n,(:goal (and (poured pitcher_base 8 mug 19)))) \n
206,to pour pitcher_base 8 into mug 20 \n,(:goal (and (poured pitcher_base 8 mug 20)))) \n
207,to pour pitcher_base 8 into mug 22 \n,(:goal (and (poured pitcher_base 8 mug 22)))) \n
208,to pour pitcher_base 8 into mug 24 \n,(:goal (and (poured pitcher_base 8 mug 24)))) \n
209,to pour pitcher_base 8 into mug 25 \n,(:goal (and (poured pitcher_base 8 mug 25)))) \n
210,to pour pitcher_base 8 into mug 26 \n,(:goal (and (poured pitcher_base 8 mug 26)))) \n
211,to pour pitcher_base 8 into mug 27 \n,(:goal (and (poured pitcher_base 8 mug 27)))) \n
212,to pour pitcher_base 8 into mug 28 \n,(:goal (and (poured pitcher_base 8 mug 28)))) \n
213,to pour pitcher_base 8 into mug 32 \n,(:goal (and (poured pitcher_base 8 mug 32)))) \n
214,to pour pitcher_base 9 into mug 1 \n,(:goal (and (poured pitcher_base 9 mug 1)))) \n
215,to pour pitcher_base 9 into mug 3 \n,(:goal (and (poured pitcher_base 9 mug 3)))) \n
216,to pour pitcher_base 9 into mug 4 \n,(:goal (and (poured pitcher_base 9 mug 4)))) \n
217,to pour pitcher_base 9 into mug 5 \n,(:goal (and (poured pitcher_base 9 mug 5)))) \n
218,to pour pitcher_base 9 into mug 6 \n,(:goal (and (poured pitcher_base 9 mug 6)))) \n
219,to pour pitcher_base 9 into mug 7 \n,(:goal (and (poured pitcher_base 9 mug 7)))) \n
220,to pour pitcher_base 9 into mug 8 \n,(:goal (and (poured pitcher_base 9 mug 8)))) \n
221,to pour pitcher_base 9 into mug 10 \n,(:goal (and (poured pitcher_base 9 mug 10)))) \n
222,to pour pitcher_base 9 into mug 11 \n,(:goal (and (poured pitcher_base 9 mug 11)))) \n
223,to pour pitcher_base 9 into mug 12 \n,(:goal (and (poured pitcher_base 9 mug 12)))) \n
224,to pour pitcher_base 9 into mug 14 \n,(:goal (and (poured pitcher_base 9 mug 14)))) \n
225,to pour pitcher_base 9 into mug 15 \n,(:goal (and (poured pitcher_base 9 mug 15)))) \n
226,to pour pitcher_base 9 into mug 16 \n,(:goal (and (poured pitcher_base 9 mug 16)))) \n
227,to pour pitcher_base 9 into mug 17 \n,(:goal (and (poured pitcher_base 9 mug 17)))) \n
228,to pour pitcher_base 9 into mug 20 \n,(:goal (and (poured pitcher_base 9 mug 20)))) \n
229,to pour pitcher_base 9 into mug 21 \n,(:goal (and (poured pitcher_base 9 mug 21)))) \n
230,to pour pitcher_base 9 into mug 22 \n,(:goal (and (poured pitcher_base 9 mug 22)))) \n
231,to pour pitcher_base 9 into mug 23 \n,(:goal (and (poured pitcher_base 9 mug 23)))) \n
232,to pour pitcher_base 9 into mug 24 \n,(:goal (and (poured pitcher_base 9 mug 24)))) \n
233,to pour pitcher_base 9 into mug 25 \n,(:goal (and (poured pitcher_base 9 mug 25)))) \n
234,to pour pitcher_base 9 into mug 26 \n,(:goal (and (poured pitcher_base 9 mug 26)))) \n
235,to pour pitcher_base 9 into mug 27 \n,(:goal (and (poured pitcher_base 9 mug 27)))) \n
236,to pour pitcher_base 9 into mug 28 \n,(:goal (and (poured pitcher_base 9 mug 28)))) \n
237,to pour pitcher_base 9 into mug 29 \n,(:goal (and (poured pitcher_base 9 mug 29)))) \n
238,to pour pitcher_base 9 into mug 30 \n,(:goal (and (poured pitcher_base 9 mug 30)))) \n
239,to pour pitcher_base 9 into mug 31 \n,(:goal (and (poured pitcher_base 9 mug 31)))) \n
240,to pour pitcher_base 9 into mug 32 \n,(:goal (and (poured pitcher_base 9 mug 32)))) \n
241,to pour pitcher_base 10 into mug 1 \n,(:goal (and (poured pitcher_base 10 mug 1)))) \n
242,to pour pitcher_base 10 into mug 2 \n,(:goal (and (poured pitcher_base 10 mug 2)))) \n
243,to pour pitcher_base 10 into mug 3 \n,(:goal (and (poured pitcher_base 10 mug 3)))) \n
244,to pour pitcher_base 10 into mug 4 \n,(:goal (and (poured pitcher_base 10 mug 4)))) \n
245,to pour pitcher_base 10 into mug 5 \n,(:goal (and (poured pitcher_base 10 mug 5)))) \n
246,to pour pitcher_base 10 into mug 6 \n,(:goal (and (poured pitcher_base 10 mug 6)))) \n
247,to pour pitcher_base 10 into mug 7 \n,(:goal (and (poured pitcher_base 10 mug 7)))) \n
248,to pour pitcher_base 10 into mug 8 \n,(:goal (and (poured pitcher_base 10 mug 8)))) \n
249,to pour pitcher_base 10 into mug 9 \n,(:goal (and (poured pitcher_base 10 mug 9)))) \n
250,to pour pitcher_base 10 into mug 13 \n,(:goal (and (poured pitcher_base 10 mug 13)))) \n
251,to pour pitcher_base 10 into mug 14 \n,(:goal (and (poured pitcher_base 10 mug 14)))) \n
252,to pour pitcher_base 10 into mug 15 \n,(:goal (and (poured pitcher_base 10 mug 15)))) \n
253,to pour pitcher_base 10 into mug 16 \n,(:goal (and (poured pitcher_base 10 mug 16)))) \n
254,to pour pitcher_base 10 into mug 17 \n,(:goal (and (poured pitcher_base 10 mug 17)))) \n
255,to pour pitcher_base 10 into mug 18 \n,(:goal (and (poured pitcher_base 10 mug 18)))) \n
256,to pour pitcher_base 10 into mug 19 \n,(:goal (and (poured pitcher_base 10 mug 19)))) \n
257,to pour pitcher_base 10 into mug 20 \n,(:goal (and (poured pitcher_base 10 mug 20)))) \n
258,to pour pitcher_base 10 into mug 21 \n,(:goal (and (poured pitcher_base 10 mug 21)))) \n
259,to pour pitcher_base 10 into mug 22 \n,(:goal (and (poured pitcher_base 10 mug 22)))) \n
260,to pour pitcher_base 10 into mug 23 \n,(:goal (and (poured pitcher_base 10 mug 23)))) \n
261,to pour pitcher_base 10 into mug 25 \n,(:goal (and (poured pitcher_base 10 mug 25)))) \n
262,to pour pitcher_base 10 into mug 26 \n,(:goal (and (poured pitcher_base 10 mug 26)))) \n
263,to pour pitcher_base 10 into mug 27 \n,(:goal (and (poured pitcher_base 10 mug 27)))) \n
264,to pour pitcher_base 10 into mug 28 \n,(:goal (and (poured pitcher_base 10 mug 28)))) \n
265,to pour pitcher_base 10 into mug 29 \n,(:goal (and (poured pitcher_base 10 mug 29)))) \n
266,to pour pitcher_base 10 into mug 31 \n,(:goal (and (poured pitcher_base 10 mug 31)))) \n
267,to pour pitcher_base 10 into mug 32 \n,(:goal (and (poured pitcher_base 10 mug 32)))) \n
268,to pour pitcher_base 11 into mug 1 \n,(:goal (and (poured pitcher_base 11 mug 1)))) \n
269,to pour pitcher_base 11 into mug 2 \n,(:goal (and (poured pitcher_base 11 mug 2)))) \n
270,to pour pitcher_base 11 into mug 3 \n,(:goal (and (poured pitcher_base 11 mug 3)))) \n
271,to pour pitcher_base 11 into mug 4 \n,(:goal (and (poured pitcher_base 11 mug 4)))) \n
272,to pour pitcher_base 11 into mug 5 \n,(:goal (and (poured pitcher_base 11 mug 5)))) \n
273,to pour pitcher_base 11 into mug 6 \n,(:goal (and (poured pitcher_base 11 mug 6)))) \n
