ID,Ours,PDDL
41,to pour pudding_box 27 into bowl 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
42,to pour pudding_box 10 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
43,to pour pudding_box 21 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
44,to pour pudding_box 24 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
45,to pour pudding_box 32 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
46,to pour pudding_box 9 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
47,to pour pudding_box 14 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
48,to pour pudding_box 32 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
49,to pour pudding_box 6 into bowl 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
50,to pour mustard_bottle 1 into bowl 18 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
51,to pour mustard_bottle 7 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
52,to pour mustard_bottle 25 into bowl 18 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
53,to pour mustard_bottle 2 into bowl 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
54,to pour mustard_bottle 8 into bowl 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
55,to pour mustard_bottle 6 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
56,to pour mustard_bottle 30 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
57,to pour mustard_bottle 14 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
58,to pour mustard_bottle 2 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
59,to pour mustard_bottle 17 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
60,to pour gelatin_box 12 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
61,to pour gelatin_box 31 into bowl 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
62,to pour gelatin_box 18 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
63,to pour gelatin_box 20 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
64,to pour gelatin_box 5 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
65,to pour gelatin_box 7 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
66,to pour gelatin_box 9 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
67,to pour gelatin_box 3 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
68,to pour gelatin_box 27 into bowl 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
69,to pour gelatin_box 10 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
70,to pour cracker_box 31 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
71,to pour cracker_box 14 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
72,to pour cracker_box 4 into bowl 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
73,to pour cracker_box 25 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
74,to pour cracker_box 25 into bowl 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
75,to pour cracker_box 6 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
76,to pour cracker_box 3 into bowl 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
77,to pour cracker_box 9 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
78,to pour cracker_box 15 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
79,to pour cracker_box 6 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
80,to pour pitcher_base 22 into mug 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
81,to pour pitcher_base 14 into mug 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
82,to pour pitcher_base 15 into mug 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
83,to pour pitcher_base 16 into mug 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
84,to pour pitcher_base 30 into mug 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
85,to pour pitcher_base 7 into mug 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
86,to pour pitcher_base 14 into mug 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
87,to pour pitcher_base 5 into mug 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
88,to pour pitcher_base 7 into mug 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
89,to pour pitcher_base 16 into mug 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
90,to pour sugar_box 6 into mug 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
91,to pour sugar_box 16 into mug 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
92,to pour sugar_box 15 into mug 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
93,to pour sugar_box 11 into mug 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
94,to pour sugar_box 11 into mug 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
95,to pour sugar_box 29 into mug 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
96,to pour sugar_box 12 into mug 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
97,to pour sugar_box 17 into mug 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
98,to pour sugar_box 21 into mug 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
99,to pour sugar_box 17 into mug 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
100,to pour tuna_fish_can 25 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
101,to pour tuna_fish_can 21 into bowl 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
102,to pour tuna_fish_can 17 into bowl 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
103,to pour tuna_fish_can 5 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
104,to pour tuna_fish_can 13 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
105,to pour tuna_fish_can 17 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
106,to pour tuna_fish_can 18 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
107,to pour tuna_fish_can 7 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
108,to pour tuna_fish_can 31 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
109,to pour tuna_fish_can 3 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
110,to pour tomato_soup_can 30 into bowl 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
111,to pour tomato_soup_can 10 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
112,to pour tomato_soup_can 13 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
113,to pour tomato_soup_can 3 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
114,to pour tomato_soup_can 17 into bowl 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
115,to pour tomato_soup_can 2 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
116,to pour tomato_soup_can 14 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
117,to pour tomato_soup_can 5 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
118,to pour tomato_soup_can 32 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
119,to pour tomato_soup_can 31 into bowl 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
120,to pour pudding_box 16 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
121,to pour pudding_box 22 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
122,to pour pudding_box 12 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
123,to pour pudding_box 29 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
124,to pour pudding_box 18 into bowl 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
125,to pour pudding_box 3 into bowl 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
126,to pour pudding_box 12 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
127,to pour pudding_box 25 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
128,to pour pudding_box 15 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
129,to pour pudding_box 27 into bowl 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
130,to pour mustard_bottle 10 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
131,to pour mustard_bottle 9 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
132,to pour mustard_bottle 12 into bowl 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
133,to pour mustard_bottle 14 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
134,to pour mustard_bottle 24 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
135,to pour mustard_bottle 12 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
136,to pour mustard_bottle 22 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
137,to pour mustard_bottle 5 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
138,to pour mustard_bottle 12 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
139,to pour mustard_bottle 13 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
140,to pour gelatin_box 15 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
141,to pour gelatin_box 1 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
142,to pour gelatin_box 30 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
143,to pour gelatin_box 6 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
144,to pour gelatin_box 9 into bowl 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
145,to pour gelatin_box 20 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
146,to pour gelatin_box 11 into bowl 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
147,to pour gelatin_box 26 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
148,to pour gelatin_box 15 into bowl 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
149,to pour gelatin_box 5 into bowl 18 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
150,to pour cracker_box 2 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
151,to pour cracker_box 1 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
152,to pour cracker_box 19 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
153,to pour cracker_box 4 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
154,to pour cracker_box 26 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
155,to pour cracker_box 4 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
156,to pour cracker_box 32 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
157,to pour cracker_box 5 into bowl 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
158,to pour cracker_box 2 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
159,to pour cracker_box 17 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
160,to pour pitcher_base 11 into mug 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
161,to pour pitcher_base 27 into mug 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
162,to pour pitcher_base 20 into mug 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
163,to pour pitcher_base 7 into mug 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
164,to pour pitcher_base 24 into mug 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
165,to pour pitcher_base 23 into mug 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
166,to pour pitcher_base 7 into mug 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
167,to pour pitcher_base 20 into mug 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
168,to pour sugar_box 13 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
169,to pour sugar_box 3 into mug 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
170,to pour sugar_box 26 into mug 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
171,to pour sugar_box 5 into mug 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
172,to pour sugar_box 31 into mug 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
173,to pour sugar_box 27 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
174,to pour sugar_box 28 into mug 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
175,to pour sugar_box 18 into mug 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
176,to pour sugar_box 5 into mug 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
177,to pour sugar_box 5 into mug 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
178,to pour tuna_fish_can 9 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
179,to pour tuna_fish_can 28 into bowl 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
180,to pour tuna_fish_can 15 into bowl 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
181,to pour tuna_fish_can 21 into bowl 18 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
182,to pour tuna_fish_can 5 into bowl 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
183,to pour tuna_fish_can 26 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
184,to pour tuna_fish_can 22 into bowl 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
185,to pour tuna_fish_can 30 into bowl 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
186,to pour tuna_fish_can 29 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
187,to pour tuna_fish_can 28 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
188,to pour tomato_soup_can 4 into bowl 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
189,to pour tomato_soup_can 11 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
190,to pour tomato_soup_can 13 into bowl 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
191,to pour tomato_soup_can 2 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
192,to pour tomato_soup_can 10 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
193,to pour tomato_soup_can 10 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
194,to pour tomato_soup_can 22 into bowl 29 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
195,to pour tomato_soup_can 4 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
196,to pour tomato_soup_can 24 into bowl 28 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
197,to pour tomato_soup_can 24 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
198,to pour pudding_box 14 into bowl 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
199,to pour pudding_box 26 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
200,to pour pudding_box 3 into bowl 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
201,to pour pudding_box 24 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
202,to pour pudding_box 7 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
203,to pour pudding_box 28 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
204,to pour pudding_box 21 into bowl 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
205,to pour pudding_box 17 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
206,to pour pudding_box 6 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
207,to pour pudding_box 19 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
208,to pour mustard_bottle 1 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
209,to pour mustard_bottle 27 into bowl 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
210,to pour mustard_bottle 13 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
211,to pour mustard_bottle 16 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
212,to pour mustard_bottle 28 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
213,to pour mustard_bottle 12 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
214,to pour mustard_bottle 31 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
215,to pour mustard_bottle 28 into bowl 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
216,to pour mustard_bottle 3 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
217,to pour mustard_bottle 29 into bowl 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
218,to pour gelatin_box 4 into bowl 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
219,to pour gelatin_box 1 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
220,to pour gelatin_box 9 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
221,to pour gelatin_box 24 into bowl 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
222,to pour gelatin_box 12 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
223,to pour gelatin_box 12 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
224,to pour gelatin_box 9 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
225,to pour gelatin_box 5 into bowl 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
226,to pour gelatin_box 5 into bowl 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
227,to pour cracker_box 21 into bowl 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
228,to pour cracker_box 24 into bowl 21 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
229,to pour cracker_box 18 into bowl 9 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
230,to pour cracker_box 7 into bowl 1 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
231,to pour cracker_box 13 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
232,to pour cracker_box 22 into bowl 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
233,to pour cracker_box 19 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
234,to pour cracker_box 10 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
235,to pour cracker_box 26 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
236,to pour cracker_box 19 into bowl 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
237,to pour pitcher_base 16 into mug 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
238,to pour pitcher_base 17 into mug 12 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
239,to pour pitcher_base 5 into mug 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
240,to pour pitcher_base 23 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
241,to pour pitcher_base 1 into mug 7 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
242,to pour pitcher_base 6 into mug 13 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
243,to pour pitcher_base 2 into mug 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
244,to pour pitcher_base 12 into mug 4 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
245,to pour pitcher_base 23 into mug 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
246,to pour sugar_box 21 into mug 32 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
247,to pour sugar_box 11 into mug 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
248,to pour sugar_box 9 into mug 31 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
249,to pour sugar_box 29 into mug 14 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
250,to pour sugar_box 14 into mug 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
251,to pour sugar_box 19 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
252,to pour sugar_box 28 into mug 30 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
253,to pour sugar_box 20 into mug 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
254,to pour sugar_box 20 into mug 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
255,to pour tuna_fish_can 2 into bowl 26 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
256,to pour tuna_fish_can 4 into bowl 2 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
257,to pour tuna_fish_can 20 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
258,to pour tuna_fish_can 16 into bowl 10 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
259,to pour tuna_fish_can 24 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
260,to pour tuna_fish_can 2 into bowl 17 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
261,to pour tuna_fish_can 21 into bowl 3 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
262,to pour tuna_fish_can 7 into bowl 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
263,to pour tomato_soup_can 13 into bowl 16 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
264,to pour tomato_soup_can 1 into bowl 6 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
265,to pour tomato_soup_can 23 into bowl 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
266,to pour tomato_soup_can 18 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
267,to pour tomato_soup_can 16 into bowl 5 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
268,to pour tomato_soup_can 22 into bowl 15 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
269,to pour tomato_soup_can 14 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
270,to pour tomato_soup_can 22 into bowl 11 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
271,to pour tomato_soup_can 20 into bowl 25 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
272,to pour pudding_box 29 into bowl 23 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
273,to pour pudding_box 3 into bowl 20 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
274,to pour pudding_box 32 into bowl 8 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
275,to pour pudding_box 22 into bowl 24 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
276,to pour pudding_box 17 into bowl 19 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
277,to pour pudding_box 8 into bowl 27 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
278,to pour pudding_box 21 into bowl 22 \n,(:goal (and (poured pitcher 31 mug 11)))) \n
