ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
101,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 22 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 2,Trial 2.xml
102,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 9 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 3,Trial 3.xml
103,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 24 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 4,Trial 4.xml
104,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 21 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 5,Trial 5.xml
105,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 2 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 6,Trial 6.xml
106,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 18 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 7,Trial 7.xml
107,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 5 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 8,Trial 8.xml
108,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 29 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 9,Trial 9.xml
109,approach handleft cracker_box and enclose handleft cracker_box and approach handright cracker_box to open cracker_box 30 \n,BBM01,Expt 3 (Opening),Cracker box,Trial 10,Trial 10.xml
110,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 7 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 1,Trial 1.xml
111,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 1 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 2,Trial 2.xml
112,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 15 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 3,Trial 3.xml
113,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 3 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 4,Trial 4.xml
114,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 32 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 5,Trial 5.xml
115,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 21 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 6,Trial 6.xml
116,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 11 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 7,Trial 7.xml
117,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 23 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 8,Trial 8.xml
118,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 25 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 9,Trial 9.xml
119,approach handleft bleach_cleanser and enclose handleft bleach_cleanser and approach handright bleach_cleanser to open bleach_cleanser 6 \n,BBM02,Expt 3 (Opening),Bleach cleanser,Trial 10,Trial 10.xml
120,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 21 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 1,Trial 1.xml
121,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 30 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 2,Trial 2.xml
122,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 32 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 3,Trial 3.xml
123,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 17 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 4,Trial 4.xml
124,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 10 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 5,Trial 5.xml
125,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 12 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 6,Trial 6.xml
126,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 7 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 7,Trial 7.xml
127,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 18 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 8,Trial 8.xml
128,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 16 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 9,Trial 9.xml
129,approach handleft gelatin_box and enclose handleft gelatin_box and approach handright gelatin_box to open gelatin_box 15 \n,BBM02,Expt 3 (Opening),Gelatin box,Trial 10,Trial 10.xml
130,approach handright marker and enclose handright marker and approach handleft marker to open marker 16 \n,BBM02,Expt 3 (Opening),Marker,Trial 1,Trial 1.xml
131,approach handright marker and enclose handright marker and approach handleft marker to open marker 26 \n,BBM02,Expt 3 (Opening),Marker,Trial 2,Trial 2.xml
132,approach handright marker and enclose handright marker and approach handleft marker to open marker 20 \n,BBM02,Expt 3 (Opening),Marker,Trial 3,Trial 3.xml
133,approach handright marker and enclose handright marker and approach handleft marker to open marker 12 \n,BBM02,Expt 3 (Opening),Marker,Trial 4,Trial 4.xml
134,approach handright marker and enclose handright marker and approach handleft marker to open marker 19 \n,BBM02,Expt 3 (Opening),Marker,Trial 5,Trial 5.xml
135,approach handright marker and enclose handright marker and approach handleft marker to open marker 4 \n,BBM02,Expt 3 (Opening),Marker,Trial 6,Trial 6.xml
136,approach handright marker and enclose handright marker and approach handleft marker to open marker 18 \n,BBM02,Expt 3 (Opening),Marker,Trial 7,Trial 7.xml
137,approach handright marker and enclose handright marker and approach handleft marker to open marker 10 \n,BBM02,Expt 3 (Opening),Marker,Trial 8,Trial 8.xml
138,approach handright marker and enclose handright marker and approach handleft marker to open marker 5 \n,BBM02,Expt 3 (Opening),Marker,Trial 9,Trial 9.xml
139,approach handright marker and enclose handright marker and approach handleft marker to open marker 11 \n,BBM02,Expt 3 (Opening),Marker,Trial 10,Trial 10.xml
140,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 20 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 1,Trial 1.xml
141,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 1 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 2,Trial 2.xml
142,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 19 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 3,Trial 3.xml
143,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 17 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 4,Trial 4.xml
144,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 12 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 5,Trial 5.xml
145,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 11 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 6,Trial 6.xml
146,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 9 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 7,Trial 7.xml
147,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 32 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 8,Trial 8.xml
148,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 26 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 9,Trial 9.xml
149,approach handleft master_chef_can and enclose handleft master_chef_can and approach handright master_chef_can to open master_chef_can 30 \n,BBM02,Expt 3 (Opening),Master chef can,Trial 10,Trial 10.xml
150,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 19 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 1,Trial 1.xml
151,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 6 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 2,Trial 2.xml
152,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 9 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 3,Trial 3.xml
153,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 11 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 4,Trial 4.xml
154,approach handleft mustard_bottle and enclose handleft mustard_bottle and approach handright mustard_bottle to open mustard_bottle 17 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 5,Trial 5.xml
155,approach handright mustard_bottle and enclose handright mustard_bottle and approach handleft mustard_bottle to open mustard_bottle 21 \n,BBM02,Expt 3 (Opening),Mustard bottle,Trial 6,Trial 6.xml
